Proses Key Risk Indicator (KRI) terdiri dari beberapa tahap, yaitu: | Deteksi penurunan keefektifan mitigasi risiko operasional | Deteksi peningkatan risiko operasional dan Tindak lanjut peningkatan risiko operasional | Deteksi peningkatan risiko dan Tindak lanjut peningkatan risiko | Deteksi peningkatan risiko operasional dan Pelaporan ke DAI | B
Berikut merupakan beberapa tahapan dalam proses pelaksanaan RCSA, yaitu... | Identifikasi, Pembobotan,  Pengendalian, Penilaian, dan Pemantauan Risiko | Identifikasi, Pengukuran, Pengendalian, dan Pemantauan Risiko | Identifikasi, Pengukuran, Pengendalian, dan Investigasi Risiko | Investigasi, Pengukuran, Pengendalian, dan Pemantauan Risiko | B
Aktivitas pengukuran risiko yang dilakukan untuk mendapatkan hasil penilaian risiko sebagai berikut, kecuali | Pengukuran keefektifan kontrol | Analisis risiko | Analisa action plan | Pengukuran dampak dan kemungkinan terjadi | C
Hasil perkalian dari nilai dampak dan nilai kemungkinan terjadinya risiko pada suatu aktivitas/kegiatan sebelum diterapkannya kontrol merupakan | Residual Risk Score | Inherent Risk Score | Impact Score | Control Score | B
Berapa lama batas waktu penginputan data pada ORMIS LED+ jika menggunakan metode penginputan per kejadian? | Paling lambat 7 hari kerja sejak kejadian selesai | Paling lambat 7 hari kerja sejak kejadian teridentifikasi | Paling lambat 7 hari kalender sejak kejadian teridentifikasi | Paling lambat 7 hari kalender sejak kejadian selesai | B
Tingkat kekuatan kontrol yang tidak selalu dilaksanakan secara konsisten/tepat waktu, sehingga perlu ditingkatkan adalah tingkat kekuatan kontrol… | Kuat | Cukup Kuat | Memadai | Lemah | C
Jika BCA menerima dana lebih kecil dibandingkan dengan dana yang telah diserahkan kepada pihak ketiga maka BCA harus memperhitungkan hal ini dalam | Kerugian potensial | Kerugian tertunda | Kerugian aktual | Kerugian pihak ketiga | A
Untuk mengkaji efektifitas penerapan internal kontrol suatu unit kerja, kita dapat menggunakan data yang ada di: | Loss Event Database+ | Key Risk Indicator | Risk Culture System | Risk and Control Self Assessment | A
Seorang pegawai bank membuang dokumen internal bank karena tidak adanya prosedur penanganan dokumen membuat data bank tersebar, risiko apakah kejadian ini? | Manusia | Proses Internal | Kejadian Eksternal | Sistem | B
Untuk memastikan tujuan Bank dapat tercapai dengan baik, apa yang pertama kali harus kita lakukan apabila kita berhadapan dengan risiko: | Langsung menghindari risiko | Menganalisa apakah risiko tersebut layak untuk diambil | Langsung mengendalikan risiko | Menganalisa apakah risiko tersebut layak untuk dikendalikan | B
Penginputan kejadian risiko operasional secara upload pada ORMIS – LED+ dilakukan untuk | kejadian dengan frekuensi rendah dan perlu berkoordinasi dengan MRK | kejadian dengan frekuensi menengah dan perlu berkoordinasi dengan MRK | kejadian dengan frekuensi tinggi dan perlu berkoordinasi dengan MRK | kejadian khusus dan perlu berkoordinasi dengan MRK | D
Jika data perkata litigasi ditolak oleh Approver Hukum, apa yang harus dilakukan oleh Data Entry Hukum? | Menghapus seluruh data perkara dari sistem | Melakukan update sesuai alasan penolakan | Menginput data baru yang sesuai dengan alasan penolakan | Menunggu instruksi dari regulator | B
Penginputan data kejadian risiko operasional pada ORMIS LED+ dilakukan dengan cara: | Data diinput digabungkan berdasarkan tanggal kejadian | Data diinput per kejadian risiko operasional | Data diinput digabungkan pertanggal pembukuan kerugian aktual | Data diinput digabungkan berdasarkan pelaksana aktivitas yang sama | B
Hal yang harus dikecualikan dari perhitungan kerugian potensial sebagai berikut, kecuali | Biaya kontrak pemeliharaan umum atas properti | Premi asuransi | Biaya yang timbul akibat suatu kejadian | Pengeluaran untuk meningkatkan kondisi bisnis | C
Terdapat 4 faktor yang mempengaruhi risiko operasional bank merupakan definisi menurut: | POJK No 18/POJK.03/2016 | POJK No 16/POJK.03/2016 | SE OJK No 6/POJK.03/2016 | SE OJK No 18/POJK.03/2016 | A
Menurut BASEL, mana yang bukan penyebab risiko operasional? | Ketidakcukupan/Kegagalan Proses | Sumber Daya Manusia | Ketidakcukupan Sistem Teknologi | Faktor Eksternal | C
Berapakah jumlah jenis indikator KRI yang digunakan pada ORMIS saat ini? | 6 indikator | 5 indikator | 4 indikator | 3 Indikator | A
Unit kerja wajib menyusun action plan pada risiko dengan nilai residual risk yang masuk ke area, kecuali... | Moderate | Low to Moderate | High | Moderate to High  | B
Jika sebuah risiko disebabkan oleh gangguan sistem TI yang mengakibatkan layanan transaksi berhenti selama 1 jam, kategori penyebab risiko ini adalah | Ketidakcukupan/Kegagalan Proses | Sumber Daya Manusia | Sistem & Teknologi | Faktor Eksternal | C
Apabila  dalam penilaian RCSA, suatu risiko memiliki nilai residual risk yang masuk ke skala Moderate, maka... | Unit kerja dapat mengabaikan risiko  | Unit kerja menyusun action plan | Risk Owner menyerahkan kepada regulator | Unit kerja menilai kembali risiko | B
Mana yang tidak termasuk sebagai Indikator KRI saat ini | Akses rekening ​dormant | Akses data nasabah | Transaksi tarikan tabungan tanpa Pinpad | Transaksi setoran tabungan tanpa Pinpad | D
Pengecualian pada transaksi-transaksi tertentu agar Aplikasi ORMIS – KRI tidak mengirimkan notifikasi saat terjadi pelampauan threshold adalah | Safelist | Whitelist | White Risk | Exemption List | B
Siapa yang melakukan persetujuan, penolakan, dan penutupan kasus data kejadian risiko operasional pada ORMIS LED+? | LED Data Entry | LED Approver | LED Manager | Risk Management Division (MRK) | B
Proses bisnis yang dinilai penting oleh BCA dan harus dilayani saat terjadi gangguan disebut dengan… | Recovery Time Objective | Recovery Point Objective | Critical Business Function | Critical Operation Function | C
Mana dari tindakan berikut yang dapat meningkatkan risiko kebakaran akibat korsleting listrik? | Menggunakan stop kontak yang sesuai SNI | Menumpuk banyak colokan T pada satu stop kontak | Memeriksa kabel secara rutin | Mematikan peralatan elektronik saat tidak digunakan | B
Salah satu peralatan yang tidak ada di warden box UKKP adalah ... | Police Light | Topi | Rompi | Peluit | A
Berikut ini yang bukan tujuan penerapan BC di BCA adalah... | Mengurangi kebingungan ketika terjadi bencana | Mengurangi tahapan koordinasi bencana | Mengurangi ketergantungan pada personel tertentu | Mematuhi peraturan regulator | B
Apa yang harus dilakukan saat terjadi gempa bumi di dalam gedung kantor? | Bersembunyi di bawah meja yang kuat | Segera lari keluar gedung melalui tangga darurat | Berdiri di dekat jendela | Menggunakan lift untuk evakuasi | A
Salah satu peralatan yang digunakan untuk membawa dokumen yang diperlukan untuk melanjutkan pekerjaan di SWP adalah… | PC | Server | Grab Bag | Kluis | C
Salah satu bentuk awareness terkait BCP, kecuali ... | Nonton film BCP | BC Call Testing | BC Quiz | Poster BC | A
Mengapa jalur evakuasi harus selalu bebas dari hambatan? | Agar karyawan dapat berolahraga saat pulang | Agar petugas evakuasi dapat bekerja dengan mudah | Agar proses evakuasi dapat berjalan aman, lancar dan cepat | Agar terlihat rapi dan bersih | C
Aktivasi BC Plan A diaktivasi apabila… | Tempat kerja Kantor Wilayah tidak dapat digunakan | Tempat kerja Kantor Cabang tidak dapat digunakan | Data Center mengalami gangguan secara nasional | Gedung kantor pusat tidak dapat digunakan | A
Potensi ancaman yang mungkin terjadi dan berdampak pada bank saat tersebar isu kesehatan bank menurun adalah... | Rush | Demonstrasi | Huru-Hara | Perampokan | A
Alat Pemadam Api Ringan (APAR) harus diletakkan di tempat yang... | Mudah dijangkau dan tidak terhalang | Tersembunyi agar tidak merusak estetika ruangan | Dekat dengan sumber listrik | Di dalam lemari terkunci | A
