Apa yang dimaksud dengan risiko operasional? | Clue 1 | Clue 2
Manakah yang termasuk komponen utama dalam manajemen risiko siber? | Clue 1 | Clue 2
Apa kepanjangan dari CIA dalam konteks keamanan informasi? | Clue 1 | Clue 2
Manakah yang merupakan jenis serangan siber yang paling umum? | Clue 1 | Clue 2
Apa yang dimaksud dengan Business Continuity Plan (BCP)? | Clue 1 | Clue 2
Manakah yang termasuk dalam kategori risiko operasional? | Clue 1 | Clue 2
Apa yang dimaksud dengan penetration testing? | Clue 1 | Clue 2
Manakah yang merupakan prinsip dasar dalam manajemen risiko? | Clue 1 | Clue 2
Apa kepanjangan dari GDPR? | Clue 1 | Clue 2
Manakah yang termasuk dalam incident response plan? | Clue 1 | Clue 2
Apa yang dimaksud dengan risk appetite? | Clue 1 | Clue 2
Manakah yang merupakan contoh kontrol preventif dalam keamanan siber? | Clue 1 | Clue 2
Apa yang dimaksud dengan operational resilience? | Clue 1 | Clue 2
Manakah yang termasuk dalam three lines of defense model? | Clue 1 | Clue 2
